Modelo,Metodo,AbsRel,SqRel,RMSE,RMSELog,delta_1,delta_2,delta_3,IT_ms,DeltaAbsRel_pct
Monodepth2,none,0.0568,0.6821,4.771,0.0777,0.9852,0.9915,0.9939,27.4,0.0
Monodepth2,retinex,0.1114,1.4798,8.236,0.1489,0.8656,0.9742,0.9897,413.0,96.1
Monodepth2,endolmspec,0.0662,0.8576,5.324,0.0876,0.9787,0.9912,0.9929,150.0,16.5
Monodepth2,iat,0.0581,0.6269,4.796,0.0791,0.9832,0.9913,0.9948,285.3,2.3
MonoViT,none,0.1328,1.9229,9.966,0.1752,0.8476,0.9685,0.9868,51.4,0.0
MonoViT,retinex,0.1339,1.9151,9.809,0.1755,0.8397,0.9535,0.9887,437.5,0.8
MonoViT,endolmspec,0.1425,2.1251,10.541,0.1841,0.8173,0.9666,0.9864,173.9,7.3
MonoViT,iat,0.1353,1.9456,9.93,0.1758,0.8464,0.9643,0.9874,309.4,1.9
EndoSfMLearner,none,0.1706,3.1434,12.754,0.2074,0.775,0.9387,0.9884,6.4,0.0
EndoSfMLearner,retinex,0.171,3.1565,12.777,0.2077,0.7743,0.9386,0.9884,392.2,0.2
EndoSfMLearner,endolmspec,0.1707,3.1466,12.761,0.2074,0.7747,0.9387,0.9884,129.1,0.1
EndoSfMLearner,iat,0.1707,3.1476,12.761,0.2075,0.7747,0.9387,0.9884,264.3,0.1
AF-SfMLearner,none,0.1103,1.3733,8.97,0.142,0.9008,0.987,0.9966,27.2,0.0
AF-SfMLearner,retinex,0.1326,1.8277,9.682,0.1786,0.8552,0.96,0.9874,413.1,20.2
AF-SfMLearner,endolmspec,0.1055,1.2379,8.483,0.1365,0.9179,0.9869,0.9968,150.2,-4.4
AF-SfMLearner,iat,0.1079,1.2953,8.678,0.1408,0.9026,0.9844,0.9967,285.3,-2.2
MonoIIT,none,0.0373,0.2642,3.487,0.0572,0.9886,0.9958,0.9995,72.7,0.0
MonoIIT,retinex,0.0988,1.1629,7.732,0.1353,0.8911,0.9822,0.9947,458.5,164.9
MonoIIT,endolmspec,0.0424,0.354,3.7,0.0618,0.9817,0.9926,0.9985,195.5,13.7
MonoIIT,iat,0.0411,0.3067,3.637,0.06,0.9848,0.9941,0.9994,330.7,10.2
w19-MonoViT,none,0.0459,0.2755,3.913,0.0637,0.9881,0.9986,0.9997,72.5,0.0
w19-MonoViT,retinex,0.1342,2.2202,9.92,0.185,0.8114,0.9305,0.974,458.4,192.4
w19-MonoViT,endolmspec,0.0597,0.3932,4.705,0.0786,0.9827,0.9984,0.9997,195.4,30.1
w19-MonoViT,iat,0.0524,0.3212,4.108,0.0689,0.988,0.9978,0.9996,330.6,14.2
